#M/K
0.56
#Linf
40.04301
#LinfCV
0.001
#PercLeft
0.01
#NumAgClass
100
#RelativeAge
0.01 0.02 0.03 0.04 0.05
0.06 0.07 0.08 0.09 0.1
0.11 0.12 0.13 0.14 0.15
0.16 0.17 0.18 0.19 0.2
0.21 0.22 0.23 0.24 0.25
0.26 0.27 0.28 0.29 0.3
0.31 0.32 0.33 0.34 0.35
0.36 0.37 0.38 0.39 0.4
0.41 0.42 0.43 0.44 0.45
0.46 0.47 0.48 0.49 0.5
0.51 0.52 0.53 0.54 0.55
0.56 0.57 0.58 0.59 0.6
0.61 0.62 0.63 0.64 0.65
0.66 0.67 0.68 0.69 0.7
0.71 0.72 0.73 0.74 0.75
0.76 0.77 0.78 0.79 0.8
0.81 0.82 0.83 0.84 0.85
0.86 0.87 0.88 0.89 0.9
0.91 0.92 0.93 0.94 0.95
0.96 0.97 0.98 0.99 1
#NumLenBins
33
#LengthMids
13.5 14.5 15.5 16.5 17.5
18.5 19.5 20.5 21.5 22.5
23.5 24.5 25.5 26.5 27.5
28.5 29.5 30.5 31.5 32.5
33.5 34.5 35.5 36.5 37.5
38.5 39.5 40.5 41.5 42.5
43.5 44.5 45.5
#LengthClasses
13 14 15 16 17
18 19 20 21 22
23 24 25 26 27
28 29 30 31 32
33 34 35 36 37
38 39 40 41 42
43 44 45 46
#LenFreq
6 3 4 5 4
8 13 37 18 51
66 39 49 51 48
33 47 38 20 71
45 65 15 16 7
3 0 0 0 0
0 0 0
#LenProp
0.007874016 0.003937008 0.005249344 0.00656168 0.005249344
0.01049869 0.01706037 0.04855643 0.02362205 0.06692913
0.08661417 0.0511811 0.06430446 0.06692913 0.06299213
0.04330709 0.06167979 0.04986877 0.02624672 0.09317585
0.05905512 0.08530184 0.01968504 0.02099738 0.009186352
0.003937008 0 0 0 0
0 0 0
#MatL50
22.27044
#MatL95
23.40021
