"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",7,2654.02608993259,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANM08200719","All",7,2635.18264239182,0.25,"sq_km",1552,"HnL","1"
"3",2007,"August","ANM08200721","All",1,288.426427435869,0.25,"sq_km",1376.3,"HnL","1"
"4",2007,"August","ANM08230717","All",4,1561.52020435141,0.25,"sq_km",1371.5,"HnL","1"
"5",2007,"August","ANM08230722","All",9,2757.52154010002,0.25,"sq_km",1925.7,"HnL","1"
"6",2007,"August","ANR08210702","All",4,1395.82916050013,0.25,"sq_km",12250.5,"HnL","0"
"7",2007,"August","ANR08210704","All",1,407.817671109223,0.25,"sq_km",10943,"HnL","0"
"8",2007,"August","ANR08210705","All",7,2781.43860852881,0.25,"sq_km",9890.5,"HnL","0"
"9",2007,"August","ANR08210709","All",17,5208.64481795193,0.25,"sq_km",3910.2,"HnL","0"
"10",2007,"August","ANR08240703","All",3,1170.81516950113,0.25,"sq_km",11680.5,"HnL","0"
"11",2007,"August","ANR08240704","All",8,2910.64822771915,0.25,"sq_km",10943,"HnL","0"
"12",2007,"August","ANR08240708","All",7,2453.4581924853,0.25,"sq_km",6550.3,"HnL","0"
"13",2007,"August","ANR08240711","All",6,2777.95738093409,0.25,"sq_km",3227.8,"HnL","0"
"14",2007,"August","PBM08210703","All",8,1862.95069719736,0.25,"sq_km",881.8,"HnL","1"
"15",2007,"August","PBM08210705","All",50,15437.3455382118,0.25,"sq_km",638.2,"HnL","1"
"16",2007,"August","PBM08210708","All",43,12509.8453748247,0.25,"sq_km",692.8,"HnL","1"
"17",2007,"August","PBM08210709","All",53,15292.6480119951,0.25,"sq_km",586.3,"HnL","1"
"18",2007,"August","PBM08280702","All",2,908.234942574296,0.25,"sq_km",251.5,"HnL","1"
"19",2007,"August","PBM08280703","All",19,5022.20909145278,0.25,"sq_km",881.8,"HnL","1"
"20",2007,"August","PBM08280704","All",4,1383.00293045961,0.25,"sq_km",386.6,"HnL","1"
"21",2007,"August","PBM08280706","All",18,4882.7032056147,0.25,"sq_km",817.9,"HnL","1"
"22",2007,"August","PBM08280711","All",15,5497.27873961501,0.25,"sq_km",249.8,"HnL","1"
"23",2007,"August","PBR08220713","All",28,9365.81841004266,0.25,"sq_km",3186.7,"HnL","0"
"24",2007,"August","PBR08220716","All",23,6463.28455051264,0.25,"sq_km",2564.5,"HnL","0"
"25",2007,"August","PBR08220717","All",49,14208.526550968,0.25,"sq_km",2071.6,"HnL","0"
"26",2007,"August","PBR08220720","All",6,1765.83671279839,0.25,"sq_km",1452.9,"HnL","0"
"27",2007,"August","PBR08270713","All",17,5039.98781594325,0.25,"sq_km",3186.7,"HnL","0"
"28",2007,"August","PBR08270714","All",3,1253.52649169514,0.25,"sq_km",3115.8,"HnL","0"
"29",2007,"August","PBR08270716","All",24,7047.60821037074,0.25,"sq_km",2564.5,"HnL","0"
"30",2007,"August","PBR08270720","All",13,3363.40874216881,0.25,"sq_km",1452.9,"HnL","0"
"31",2007,"August","PLM08070706","All",18,6558.99090908764,0.25,"sq_km",362.4,"HnL","1"
"32",2007,"August","PLM08070707","All",34,11792.6083111941,0.25,"sq_km",238.8,"HnL","1"
"33",2007,"August","PLM08070710","All",12,4724.58559927045,0.25,"sq_km",457.2,"HnL","1"
"34",2007,"August","PLM08070711","All",11,2723.7167720041,0.25,"sq_km",387.4,"HnL","1"
"35",2007,"August","PLM08090708","All",8,3076.90058663283,0.25,"sq_km",340.5,"HnL","1"
"36",2007,"August","PLM08090709","All",3,1054.8240175977,0.25,"sq_km",412.1,"HnL","1"
"37",2007,"August","PLM08090712","All",45,14297.6397981022,0.25,"sq_km",837.4,"HnL","1"
"38",2007,"August","PLM08090713","All",7,2234.99162884593,0.25,"sq_km",501.9,"HnL","1"
"39",2007,"August","PLR08060702","All",26,7155.97950976832,0.25,"sq_km",5687.6,"HnL","0"
"40",2007,"August","PLR08060703","All",22,5451.27744841182,0.25,"sq_km",5084.5,"HnL","0"
"41",2007,"August","PLR08060704","All",15,4435.31222664269,0.25,"sq_km",4518,"HnL","0"
"42",2007,"August","PLR08060715","All",44,16540.866150772,0.25,"sq_km",1094.9,"HnL","0"
"43",2007,"August","PLR08080702","All",5,1417.07866093651,0.25,"sq_km",5687.6,"HnL","0"
"44",2007,"August","PLR08080703","All",7,2275.80745199095,0.25,"sq_km",5084.5,"HnL","0"
"45",2007,"August","PLR08080705","All",6,1355.90341241657,0.25,"sq_km",4354.3,"HnL","0"
"46",2007,"August","PLR08080714","All",6,2154.00760393938,0.25,"sq_km",584.8,"HnL","0"
"47",2007,"October","ANM10090716","All",1,223.753403258216,0.25,"sq_km",853.2,"HnL","1"
"48",2007,"October","ANM10090717","All",4,1598.20012583075,0.25,"sq_km",1371.5,"HnL","1"
"49",2007,"October","ANM10090718","All",3,1042.72970888661,0.25,"sq_km",1655.6,"HnL","1"
"50",2007,"October","ANR10080707","All",3,1329.95889860052,0.25,"sq_km",7427.6,"HnL","0"
"51",2007,"October","ANR10080708","All",4,1673.90366795843,0.25,"sq_km",6550.3,"HnL","0"
"52",2007,"October","ANR10080710","All",3,978.391610692325,0.25,"sq_km",3500.7,"HnL","0"
"53",2007,"October","ANR10110702","All",1,407.817671109223,0.25,"sq_km",12250.5,"HnL","0"
"54",2007,"October","ANR10110705","All",1,454.117471287148,0.25,"sq_km",9890.5,"HnL","0"
"55",2007,"October","ANR10110706","All",4,1425.96176722759,0.25,"sq_km",7994.8,"HnL","0"
"56",2007,"October","ANR10110711","All",1,454.117471287148,0.25,"sq_km",3227.8,"HnL","0"
"57",2007,"October","PBM10150703","All",37,11219.1223029418,0.25,"sq_km",881.8,"HnL","1"
"58",2007,"October","PBM10150706","All",30,7998.56320101289,0.25,"sq_km",817.9,"HnL","1"
"59",2007,"October","PBM10150709","All",12,4399.34701374984,0.25,"sq_km",586.3,"HnL","1"
"60",2007,"October","PBM10150711","All",16,6375.3426082181,0.25,"sq_km",249.8,"HnL","1"
"61",2007,"October","PBM10240703","All",58,15619.0517183227,0.25,"sq_km",881.8,"HnL","1"
"62",2007,"October","PBM10240704","All",12,3946.23733165596,0.25,"sq_km",386.6,"HnL","1"
"63",2007,"October","PBM10240709","All",18,5144.61482326518,0.25,"sq_km",586.3,"HnL","1"
"64",2007,"October","PBM10240711","All",13,4468.99010690256,0.25,"sq_km",249.8,"HnL","1"
"65",2007,"October","PBR10160715","All",19,6573.87561994027,0.25,"sq_km",2627.5,"HnL","0"
"66",2007,"October","PBR10160717","All",21,5670.28572083123,0.25,"sq_km",2071.6,"HnL","0"
"67",2007,"October","PBR10160718","All",6,1717.7961940632,0.25,"sq_km",2010,"HnL","0"
"68",2007,"October","PBR10160721","All",1,288.426427435869,0.25,"sq_km",899,"HnL","0"
"69",2007,"October","PBR10230713","All",11,3962.80101832462,0.25,"sq_km",3186.7,"HnL","0"
"70",2007,"October","PBR10230714","All",7,2450.65317809784,0.25,"sq_km",3115.8,"HnL","0"
"71",2007,"October","PBR10230717","All",12,3345.08236305166,0.25,"sq_km",2071.6,"HnL","0"
"72",2007,"October","PBR10230720","All",6,2250.22479986708,0.25,"sq_km",1452.9,"HnL","0"
"73",2007,"October","PBR10230721","All",10,3344.4762015381,0.25,"sq_km",899,"HnL","0"
"74",2007,"October","PBR10230722","All",8,3202.67916695014,0.25,"sq_km",894.3,"HnL","0"
"75",2007,"October","PLM10220708","All",23,7331.7179659277,0.25,"sq_km",340.5,"HnL","1"
"76",2007,"October","PLM10220709","All",23,8396.25918146335,0.25,"sq_km",412.1,"HnL","1"
"77",2007,"October","PLM10220710","All",12,4149.63516395192,0.25,"sq_km",457.2,"HnL","1"
"78",2007,"October","PLM10220711","All",12,3210.15348309873,0.25,"sq_km",387.4,"HnL","1"
"79",2007,"October","PLM10240706","All",7,2048.64973530395,0.25,"sq_km",362.4,"HnL","1"
"80",2007,"October","PLM10240707","All",22,6713.97455232436,0.25,"sq_km",238.8,"HnL","1"
"81",2007,"October","PLM10240708","All",30,9398.70896687787,0.25,"sq_km",340.5,"HnL","1"
